	OS052	OS152	OS186	OS457	OS525	OS526	OS384	OS742	OS766	OS774	OS833	SJSA	U2OS	MG63	MG63.3	SaOS2	HuO9	HOS	c143B
POP4	6.084515057	5.397149207	6.710030438	5.080561582	4.332838257	10.04135134	5.820385221	4.729074464	4.329241215	5.178989894	6.967265275	5.670380565	6.190247761	5.866464326	5.775752378	3.513516586	5.12001312	5.902321343	5.045870529
POP5	4.884822056	4.742235626	4.747576014	3.854767212	4.380628631	4.389306993	5.218059372	5.136275844	4.456930531	4.17530917	5.107290966	4.644047719	4.493180593	4.022934396	4.533804258	3.973304247	4.840709159	4.947604681	4.667281708
POP7	6.058866583	5.586413808	5.463246534	4.859005296	4.298633719	4.424949231	6.92055605	5.050406561	4.989241623	5.539556042	5.478439244	5.566441023	5.830899797	5.942586129	6.329230947	6.032106722	4.68673549	6.492604926	5.998303577
POPDC3	0	0.430279682	3.352980266	2.649273045	0.339807423	4.535444886	2.003820831	1.301649835	3.224728678	4.186170931	0.865017961	3.994336901	0	1.31560378	2.616086664	4.949420896	0.796982735	3.719210698	3.934031008
POR	6.685806656	5.839065482	7.534367914	6.785336769	6.973934434	5.560794227	7.759121016	6.291305198	6.760767131	6.446276956	7.038570885	7.710336015	6.25425536	6.124291311	5.825438418	5.925457839	6.120686045	6.124914585	4.820095303
PORCN	4.357936878	3.154697618	2.901083466	5.940689801	4.675370097	4.056409503	7.469353885	3.137199577	3.145574262	2.424715014	2.457285735	4.246476774	3.982101847	2.471334761	2.42303113	4.345813162	3.488792828	3.110154805	2.258665662
POT1	3.705742861	4.03356783	5.01680312	4.47942538	5.266491331	4.241034217	0	5.112821921	4.447961121	4.204094093	4.306602278	3.122026851	3.320224525	3.510623927	3.746928351	3.856694989	5.060680847	3.207812476	4.265365392
POU2F1	4.798134934	4.728118313	5.209128009	5.408305951	5.028975497	5.251883872	1.745038166	4.548556678	5.037873666	4.287155445	6.256683582	2.967369151	4.455595275	3.266172065	3.196524035	3.842335357	4.122743581	3.823029844	4.661185819
POU6F1	4.658948423	3.303565587	2.720551469	3.083075048	3.970954392	2.583080121	5.014763033	2.575906879	4.104154356	3.362415495	2.099446492	2.632770326	2.363624551	3.009609593	2.66454439	3.071613957	4.761859299	1.041441011	0.762465082
PPA1	5.419576257	6.396176607	6.102615945	5.408650426	5.439805765	5.994673378	3.88126301	7.169110775	7.170961451	6.706048281	8.180886543	6.171562565	7.243231096	6.412296247	6.961091981	6.203052486	6.484933645	6.719621689	7.167152791
PPA2	4.742398544	3.972147166	4.98003259	3.463336292	4.727725219	4.550890411	3.010083676	5.24635058	5.104078243	4.846132777	5.996258101	4.804207287	4.607268152	3.874090933	4.514105475	4.642645256	4.297032059	5.019973563	5.638609496
